Input,PalletType,DecimalBoxNumber,NetBoxNumber,NumberPallet,TotalPalletWeight,NetProductWeight,TotalWeight,Input.1,UnitCost,UnitSelling,TransportCost,TransportSelling,SubTotalSelling,TotalSelling,CostPerKg,SellingPerKg,ProfitPerKg
488,STANDARD,32.53333333333333,32,0.6777777777777777,39.31111111111111,480,519.3111111111111,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
489,EURO,32.6,32,0.9055555555555556,43.46666666666667,480,523.4666666666667,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
489,STANDARD,32.6,32,0.6791666666666667,39.391666666666666,480,519.3916666666667,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
490,EURO,32.666666666666664,32,0.9074074074074073,43.55555555555555,480,523.5555555555555,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
490,STANDARD,32.666666666666664,32,0.6805555555555555,39.472222222222214,480,519.4722222222222,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
491,EURO,32.733333333333334,32,0.9092592592592593,43.644444444444446,480,523.6444444444444,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
491,STANDARD,32.733333333333334,32,0.6819444444444445,39.55277777777778,480,519.5527777777778,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
492,EURO,32.8,32,0.911111111111111,43.73333333333333,480,523.7333333333333,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
492,STANDARD,32.8,32,0.6833333333333332,39.633333333333326,480,519.6333333333333,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
493,EURO,32.86666666666667,32,0.912962962962963,43.82222222222222,480,523.8222222222222,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
493,STANDARD,32.86666666666667,32,0.6847222222222222,39.71388888888889,480,519.7138888888888,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
494,EURO,32.93333333333333,32,0.9148148148148147,43.91111111111111,480,523.9111111111112,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
494,STANDARD,32.93333333333333,32,0.686111111111111,39.79444444444444,480,519.7944444444445,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
495,EURO,33,33,0.9166666666666666,44,495,539,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
495,STANDARD,33,33,0.6875,39.875,495,534.875,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
496,EURO,33.06666666666667,33,0.9185185185185186,44.088888888888896,495,539.0888888888888,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
496,STANDARD,33.06666666666667,33,0.688888888888889,39.95555555555556,495,534.9555555555555,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
497,EURO,33.13333333333333,33,0.9203703703703704,44.17777777777778,495,539.1777777777778,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
497,STANDARD,33.13333333333333,33,0.6902777777777778,40.03611111111111,495,535.0361111111112,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
498,EURO,33.2,33,0.9222222222222223,44.266666666666666,495,539.2666666666667,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
498,STANDARD,33.2,33,0.6916666666666668,40.116666666666674,495,535.1166666666667,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
499,EURO,33.266666666666666,33,0.924074074074074,44.355555555555554,495,539.3555555555556,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
499,STANDARD,33.266666666666666,33,0.6930555555555555,40.19722222222222,495,535.1972222222222,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
500,EURO,33.333333333333336,33,0.925925925925926,44.44444444444445,495,539.4444444444445,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
500,STANDARD,33.333333333333336,33,0.6944444444444445,40.277777777777786,495,535.2777777777778,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
501,EURO,33.4,33,0.9277777777777777,44.53333333333333,495,539.5333333333333,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
501,STANDARD,33.4,33,0.6958333333333333,40.358333333333334,495,535.3583333333333,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
502,EURO,33.46666666666667,33,0.9296296296296297,44.62222222222223,495,539.6222222222223,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
502,STANDARD,33.46666666666667,33,0.6972222222222223,40.43888888888889,495,535.4388888888889,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
503,EURO,33.53333333333333,33,0.9314814814814815,44.71111111111111,495,539.7111111111111,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
503,STANDARD,33.53333333333333,33,0.6986111111111111,40.519444444444446,495,535.5194444444444,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
504,EURO,33.6,33,0.9333333333333333,44.8,495,539.8,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
